id,firstName,lastName,birthDate,email,planet_id,department_id,position_id,stardustCollected,wormholeNavigationSkill,spacesuitColor,active
01M0G8JD40117H4K2QWMXYZSAB,Ernő,Balogh,1992-05-07,spacefarer11@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2ENG9R7H4K2QWMYXBS,01M0G8JD3ENGTR7H4K2QWMXYZS,95.00,25,Blue,true
01M0G8JD40127H4K2QWMXYZSAB,Gyula,Papp,1988-10-11,spacefarer12@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2ENG9R7H4K2QWMYXBS,01M0G8JD3ENGJR7H4K2QWMXYZS,280.00,48,Red,true
01M0G8JD40137H4K2QWMXYZSAB,Imre,Takács,1979-03-22,spacefarer13@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2ENG9R7H4K2QWMYXBS,01M0G8JD3ENGMD7H4K2QWMXYZS,580.00,65,Green,true
01M0G8JD40147H4K2QWMXYZSAB,János,Juhász,1974-07-19,spacefarer14@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2ENG9R7H4K2QWMYXBS,01M0G8JD3ENGSR7H4K2QWMXYZS,1020.00,85,Yellow,true
01M0G8JD40157H4K2QWMXYZSAB,Károly,Lakatos,1966-11-03,spacefarer15@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2ENG9R7H4K2QWMYXBS,01M0G8JD3ENGRT7H4K2QWMXYZS,1750.00,65,Orange,false
01M0G8JD40167H4K2QWMXYZSAB,Miklós,Mészáros,1991-01-27,spacefarer16@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2TST4H7N2K9QWMXYBR,01M0G8JD3TSTTR7H4K2QWMXYZS,70.00,22,Purple,true
01M0G8JD40177H4K2QWMXYZSAB,Sándor,Oláh,1986-09-16,spacefarer17@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2TST4H7N2K9QWMXYBR,01M0G8JD3TSTJR7H4K2QWMXYZS,240.00,42,White,true
01M0G8JD40187H4K2QWMXYZSAB,Tibor,Simon,1981-04-08,spacefarer18@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2TST4H7N2K9QWMXYBR,01M0G8JD3TSTMD7H4K2QWMXYZS,460.00,58,Black,true
01M0G8JD40197H4K2QWMXYZSAB,Zsolt,Rácz,1976-02-14,spacefarer19@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2TST4H7N2K9QWMXYBR,01M0G8JD3TSTSR7H4K2QWMXYZS,880.00,80,Silver,true
01M0G8JD40207H4K2QWMXYZSAB,Attila,Fekete,1969-06-29,spacefarer20@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2TST4H7N2K9QWMXYBR,01M0G8JD3TSTRT7H4K2QWMXYZS,1400.00,62,Cyan,false
01M0G8JD40217H4K2QWMXYZSAB,Balázs,Szűcs,1993-08-05,spacefarer21@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2MNT7R4H2K9QWXYZBS,01M0G8JD3MNTTR7H4K2QWMXYZS,60.00,20,Blue,true
01M0G8JD40227H4K2QWMXYZSAB,Dávid,Gál,1987-12-21,spacefarer22@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2MNT7R4H2K9QWXYZBS,01M0G8JD3MNTJR7H4K2QWMXYZS,220.00,40,Red,true
01M0G8JD40237H4K2QWMXYZSAB,Endre,Fodor,1983-03-30,spacefarer23@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2MNT7R4H2K9QWXYZBS,01M0G8JD3MNTMD7H4K2QWMXYZS,490.00,60,Green,true
01M0G8JD40247H4K2QWMXYZSAB,Gergő,Katona,1977-10-17,spacefarer24@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2MNT7R4H2K9QWXYZBS,01M0G8JD3MNTSR7H4K2QWMXYZS,930.00,82,Yellow,true
01M0G8JD40257H4K2QWMXYZSAB,Kristóf,Bíró,1967-05-24,spacefarer25@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD2MNT7R4H2K9QWXYZBS,01M0G8JD3MNTRT7H4K2QWMXYZS,1550.00,68,Orange,false
01M0G8JD40267H4K2QWMXYZSAB,Levente,Vass,1994-02-13,spacefarer26@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD3EXPTR7H4K2QWMXYZS,100.00,30,Purple,true
01M0G8JD40277H4K2QWMXYZSAB,Márton,Deák,1989-09-09,spacefarer27@galactic.example,01M0G5N4XJ5XJS5R6A55YR3XXX,01M0G8JD29QC5EBEC8X70WYN2G,01M0G8JD3EXPJR7H4K2QWMXYZS,300.00,47,White,true
01M0G8JD40287H4K2QWMXYZSAB,Elena,Petrova,1984-06-11,spacefarer28@galactic.example,01M0G5N4XJD7B73AW7SWBXV19T,,,300.00,55,Teal,true
01M0G8JD40297H4K2QWMXYZSAB,Marcus,Chen,1979-02-25,spacefarer29@galactic.example,01M0G5N4XJD7B73AW7SWBXV19T,,,600.00,70,Gold,true
